Date,Open,High,Low,Vol.,Change %,Price
3/8/2023,1818.00,1828.70,1813.40,208.29K,-0.08%,1818.6
3/7/2023,1852.60,1856.90,1817.10,248.23K,-1.87%,1820
3/6/2023,1861.00,1864.30,1850.60,136.22K,0.00%,1854.6
3/3/2023,1842.10,1864.40,1842.00,158.96K,0.77%,1854.6
3/2/2023,1843.80,1845.30,1835.90,139.76K,-0.27%,1840.5
3/1/2023,1834.00,1852.50,1829.60,182.58K,0.47%,1845.4
2/28/2023,1823.90,1838.60,1810.80,184.51K,0.65%,1836.7
2/27/2023,1818.00,1827.30,1812.00,130.43K,0.87%,1824.9
2/24/2023,1825.20,1827.10,1808.80,0.40K,-0.53%,1809.2
2/23/2023,1823.60,1832.70,1818.30,0.65K,-0.79%,1818.8
2/22/2023,1837.00,1846.40,1825.10,0.57K,-0.50%,1833.3
2/21/2023,1850.50,1856.40,1839.00,210.17K,-0.43%,1842.5
2/20/2023,1847.55,1856.35,1846.30,,0.15%,1850.5
2/19/2023,1851.20,1852.15,1847.55,,0.40%,1847.75
2/17/2023,1827.40,1842.20,1818.40,0.04K,-0.09%,1840.4
2/16/2023,1838.60,1843.70,1827.20,0.22K,0.43%,1842
2/15/2023,1842.00,1842.00,1828.20,0.37K,-1.07%,1834.2
2/14/2023,1854.10,1862.00,1846.20,0.66K,0.11%,1854
2/13/2023,1859.00,1861.00,1850.00,0.57K,-0.59%,1851.9
2/10/2023,1861.60,1863.50,1852.40,0.03K,-0.18%,1862.8
2/9/2023,1875.30,1884.60,1859.80,0.22K,-0.60%,1866.2
2/8/2023,1872.10,1880.40,1872.10,0.23K,0.30%,1877.4
2/7/2023,1870.00,1875.70,1868.00,0.30K,0.29%,1871.7
2/6/2023,1865.60,1880.00,1863.40,0.42K,0.18%,1866.2
2/3/2023,1912.40,1917.00,1861.50,0.99K,-2.79%,1862.9
2/2/2023,1952.30,1959.10,1911.30,0.75K,-0.60%,1916.3
2/1/2023,1927.20,1955.00,1922.00,2.29K,-0.09%,1927.8
1/31/2023,1923.00,1930.40,1900.60,1.91K,0.34%,1929.5
1/30/2023,1928.30,1933.60,1920.30,27.22K,-0.71%,1922.9
1/27/2023,1936.80,1943.00,1923.70,2.33K,-0.05%,1936.6
1/26/2023,1955.30,1957.00,1926.50,2.10K,-0.65%,1937.6
1/25/2023,1946.00,1956.00,1928.70,1.27K,0.37%,1950.3
1/24/2023,1940.50,1950.60,1926.30,1.08K,0.36%,1943.1
1/23/2023,1936.10,1943.70,1920.10,0.97K,0.41%,1936.2
1/20/2023,1933.70,1939.00,1922.00,165.27K,0.22%,1928.2
1/19/2023,1907.00,1936.90,1902.00,214.25K,0.89%,1923.9
1/18/2023,1911.10,1929.80,1898.60,218.97K,-0.01%,1907
1/17/2023,1920.10,1920.10,1905.20,0.71K,-0.14%,1907.2
1/16/2023,1923.80,1931.80,1906.20,268.37K,-0.52%,1909.9
1/15/2023,1923.25,1923.60,1919.85,,-0.09%,1919.9
1/13/2023,1898.80,1925.30,1895.10,247.88K,1.21%,1921.7
1/12/2023,1879.70,1906.50,1872.40,265.17K,1.06%,1898.8
1/11/2023,1881.30,1890.90,1870.90,222.25K,0.13%,1878.9
1/10/2023,1875.70,1885.20,1872.00,170.51K,-0.07%,1876.5
1/9/2023,1872.80,1886.40,1869.30,204.55K,0.43%,1877.8
1/6/2023,1835.90,1875.20,1835.20,215.37K,1.58%,1869.7
1/5/2023,1861.20,1864.30,1829.90,188.60K,-0.99%,1840.6
1/4/2023,1845.20,1871.30,1842.00,198.35K,0.70%,1859
1/3/2023,1831.80,1856.60,1831.30,212.27K,0.56%,1846.1
1/2/2023,1834.55,1837.90,1831.40,,0.53%,1835.8
12/30/2022,1821.80,1832.40,1819.80,107.50K,0.01%,1826.2
12/29/2022,1812.30,1827.30,1811.20,105.99K,0.56%,1826
12/28/2022,1822.40,1822.80,1804.20,118.08K,-0.40%,1815.8
12/27/2022,1808.20,1841.90,1808.00,159.62K,0.74%,1823.1
12/26/2022,1805.80,1811.95,1805.55,,0.30%,1809.7
12/23/2022,1801.00,1812.20,1798.90,105.46K,0.50%,1804.2
12/22/2022,1823.80,1829.30,1792.70,175.77K,-1.65%,1795.3
